,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
47,frozenset({40}),frozenset({41}),0.04783342712436691,0.08947664603263927,0.04614518851997749,0.9647058823529412,10.781650018497967,0.041865213892642465,25.798161695741896
56,"frozenset({41, 35})",frozenset({19}),0.04670793472144063,0.1654473832301632,0.04501969611705121,0.963855421686747,5.825751987542005,0.037291990541303575,23.08928906396548
49,"frozenset({33, 19})",frozenset({35}),0.04839617332583005,0.10073157006190209,0.04220596510973551,0.872093023255814,8.657593867740678,0.037330942585636705,7.030644088606947
40,frozenset({36}),frozenset({34}),0.05908835115362971,0.23579065841305571,0.050647158131682614,0.8571428571428572,3.635185816570065,0.036714676908626426,5.3494653911086125
20,frozenset({35}),frozenset({19}),0.10073157006190209,0.1654473832301632,0.0827236916150816,0.8212290502793296,4.9636871508379885,0.06605791693967406,4.668278700056274
0,frozenset({2}),frozenset({10}),0.051209904333145755,0.07878446820483961,0.04108047270680923,0.8021978021978021,10.182182103610675,0.03704592762710163,4.6572562996310864
3,frozenset({7}),frozenset({34}),0.07765897580191333,0.23579065841305571,0.061902082160945414,0.7971014492753624,3.3805471965687803,0.04359082112492871,3.766460326392799
22,frozenset({41}),frozenset({19}),0.08947664603263927,0.1654473832301632,0.06584130557118739,0.7358490566037736,4.447631882941856,0.05103762862487566,3.1593777634858116
50,"frozenset({33, 35})",frozenset({19}),0.057962858750703436,0.1654473832301632,0.04220596510973551,0.7281553398058253,4.401129383792352,0.03261616180489206,3.0699614116890426
7,frozenset({13}),frozenset({50}),0.07034327518289252,0.12042768711311198,0.051209904333145755,0.728,6.045121495327103,0.04273862639890884,3.2337217385547348
36,frozenset({33}),frozenset({35}),0.08441193021947102,0.10073157006190209,0.057962858750703436,0.6866666666666666,6.816797020484171,0.0494599124877404,2.8700056274620147
57,"frozenset({41, 19})",frozenset({35}),0.06584130557118739,0.10073157006190209,0.04501969611705121,0.6837606837606838,6.787948240462207,0.03838739803194004,2.843632602777229
5,frozenset({13}),frozenset({34}),0.07034327518289252,0.23579065841305571,0.04783342712436691,0.6799999999999999,2.8839140811455843,0.03124713995406192,2.3881541924592007
